职业技能关系主键,canonical_skill,职业小类代码,职业小类名称,关联岗位数,技能岗位总数,职业岗位总数,全样本岗位数,掌握技能后进入该职业概率,职业内技能需求占比,职业技能相对集中度,平滑后职业匹配概率,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,2026年职业内技能需求占比预测,2027年职业内技能需求占比预测,2028年职业内技能需求占比预测,职业排名
GJ0000100,供应商管理,4-07-05,安全保护服务人员,5,13672.0,5256,1741643,0.00036571094207138677,0.0009512937595129375,0.12118301032763247,0.0003695849255784871,供应商管理,JN0152,供应商管理,方法、标准与流程,4.0,供应链与物流管理,,,,46
GJ0000101,论文写作,2-10-02,编辑,2,121.0,5518,1741643,0.01652892561983471,0.0003624501631025734,5.217014788565746,0.014633797548538814,论文写作,JN0647,论文写作,方法、标准与流程,1.0,表达沟通与通用办公协作,,,,12
GJ0000102,Excel,2-02-25,气象工程技术人员,1,84638.0,8,1741643,1.1815023984498689e-05,0.125,2.5721942271792813,1.1813317905892512e-05,Excel,JN0029,Excel（办公软件与通用数字工具）,方法、标准与流程,1.0,表达沟通与通用办公协作,,,,124
GJ0000103,生产流程,4-06-01,物业管理服务人员,5,25414.0,9307,1741643,0.0001967419532541119,0.0005372300419039433,0.03681683095426574,0.00020078934078147012,生产流程,JN0105,生产流程,方法、标准与流程,6.0,质量管理与持续改进,,,,69
GJ0000104,工艺设计,2-02-36,轻工工程技术人员,2,48501.0,99,1741643,4.123626316983155e-05,0.020202020202020204,0.7254429201605549,4.124269610175947e-05,工艺设计,JN0055,工艺设计,方法、标准与流程,6.0,质量管理与持续改进,,,,81
GJ0000105,EMC,2-06-04,审计专业人员,1,10063.0,11091,1741643,9.937394415184339e-05,9.01631953836444e-05,0.015604898946393381,0.00011180824121964217,EMC,JN0176,EMC（机械电子电气制造）,方法、标准与流程,11.0,嵌入式与电子硬件开发,,,,35
GJ0000106,电路设计,1-06-01,企业负责人,1,18963.0,8555,1741643,5.273427200337499e-05,0.0001168907071887785,0.010735742337203275,5.785389924634585e-05,电路设计,JN0079,电路设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,,,,38
GJ0000107,数控加工,2-07-10,社会工作专业人员,2,9588.0,26,1741643,0.00020859407592824363,0.07692307692307693,13.972938930072846,0.00020819094178293159,数控加工,JN0213,数控加工,方法、标准与流程,8.0,机械设计与制造,,,,54
GJ0000108,质量管理,4-09-09,有害生物防制人员,3,85442.0,53,1741643,3.511153765127221e-05,0.05660377358490566,1.1538068635768808,3.511044231015474e-05,质量管理,JN0035,质量管理,方法、标准与流程,6.0,质量管理与持续改进,,,,79
GJ0000109,SQL Server,2-01-06,自然科学和地球科学研究人员,2,10823.0,1648,1741643,0.00018479164741753672,0.0012135922330097086,0.19529191698010975,0.00018619613198117888,SQL Server,JN0071,微软关系型数据库（SQL Server）,工具软件与技术平台,3.0,Java后端开发与中间件,,,,27
GJ0000110,LoadRunner,2-02-38,数字技术工程技术人员,1,1094.0,28499,1741643,0.0009140767824497258,3.508895048949086e-05,0.05586144880929463,0.0011914413743935928,LoadRunner,JN0332,LoadRunner（性能测试工具）,工具软件与技术平台,21.0,软件测试与质量保障,,,,6
GJ0000111,测试方法,4-12-01,汽车摩托车修理技术服务人员,5,11732.0,1238,1741643,0.0004261847937265598,0.004038772213247173,0.5995652364299732,0.00042666920193356055,测试方法,JN0144,测试方法,具体专业技能,21.0,软件测试与质量保障,,,,29
GJ0000112,托福,6-31-03,检验试验人员,2,447.0,24391,1741643,0.0044742729306487695,8.199745807879956e-05,0.3194861272499658,0.004882423649486572,托福,JN0767,托福,证书与资质,4.0,供应链与物流管理,,,,30
GJ0000113,经济师,4-13-04,教育服务人员,3,618.0,7647,1741643,0.0048543689320388345,0.00039231071008238524,1.1056071230420965,0.00483983328126711,经济师,JN0766,经济师,证书与资质,14.0,金融风控、投资与合规,,,,19
GJ0000114,团队合作,2-02-02,测绘和地理信息工程技术人员,5,406837.0,50,1741643,1.2289934298011243e-05,0.1,0.42809356081182387,1.2290741391893345e-05,团队合作,JN0771,团队合作,非技术性能力,1.0,表达沟通与通用办公协作,,,,156
GJ0000115,成本意识,2-03-05,作物遗传育种栽培技术人员,1,5301.0,177,1741643,0.00018864365214110544,0.005649717514124294,1.8562141030846966,0.00018831658776633916,成本意识,JN0815,成本意识,非技术性能力,4.0,供应链与物流管理,,,,59
GJ0000116,质量体系,4-02-02,道路运输服务人员,2,25718.0,5429,1741643,7.77665448324131e-05,0.0003683919690550746,0.024947791203086836,8.012834839097102e-05,质量体系,JN0080,质量体系,方法、标准与流程,6.0,质量管理与持续改进,,,,58
