城市技能关系主键,canonical_skill,城市,预测年份,城市内技能需求占比预测,预测下限90%,预测上限90%,预测模型,趋势模型平均权重,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,每万岗位需求数预测,城市排名
CS0000072,8D,南京,2028,0.0261963631592294,0.0174046679899156,0.0349880583285433,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,261.963631592294,23
CS0000073,8D,南昌,2026,0.0519259824972681,0.0142088619737945,0.0906869640418788,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,519.2598249726809,5
CS0000074,8D,南昌,2027,0.0886934706321571,0.0499324890875464,0.1274544521767678,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,886.934706321571,5
CS0000075,8D,南昌,2028,0.1232238301807501,0.0844628486361394,0.1619848117253608,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,1232.238301807501,5
CS0000076,8D,南通,2026,0.0297248827150959,0.0079467797260782,0.0517417587615489,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,297.248827150959,15
CS0000077,8D,南通,2027,0.0409652935313531,0.0189484174849002,0.0629821695778061,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,409.652935313531,15
CS0000078,8D,南通,2028,0.0581837288417059,0.0361668527952529,0.0802006048881589,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,581.8372884170591,15
CS0000079,8D,厦门,2026,0.0420838741533297,0.0047644047054202,0.0839908278278738,trend_seasonal+留出校准组合,0.747142857142857,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,420.838741533297,9
CS0000080,8D,厦门,2027,0.0673079467953526,0.0258206083063422,0.1092149004698967,trend_seasonal+留出校准组合,0.85,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,673.079467953526,7
CS0000081,8D,厦门,2028,0.1093113842601473,0.0674044305856032,0.1512183379346914,trend_seasonal+留出校准组合,0.9528571428571428,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,1093.1138426014732,6
