组合职业关系主键,技能组合编号,职业小类代码,职业小类名称,组合职业关联岗位数,组合岗位总数,职业岗位总数,掌握组合后进入该职业概率,职业内组合需求占比,职业组合相对集中度,职业排名
ZG00000115,ZH00419,2-02-38,数字技术工程技术人员,107,1545,145051,0.06925566343042071,0.000737671577583057,4.079693376009094,3
ZG00000116,ZH02267,2-02-10,信息和通信工程技术人员,48,2130,728309,0.022535211267605635,6.590609205708017e-05,0.26438627978269325,4
ZG00000117,ZH01264,2-02-38,数字技术工程技术人员,3415,5629,145051,0.6066796944395096,0.023543443340618128,35.7381188507525,1
ZG00000118,ZH04825,2-06-09,保险专业人员,64,35932,17523,0.0017811421574084382,0.003652342635393483,0.8685265094791942,28
ZG00000119,ZH03710,2-02-30,管理（工业）工程技术人员,883,1172,518059,0.7534129692832765,0.0017044390696812526,12.426442816839678,1
ZG00000120,ZH02551,2-06-07,商务专业人员,20,666,489726,0.03003003003003003,4.0839163123869264e-05,0.5239568969491416,10
ZG00000121,ZH02572,3-01-02,行政事务处理人员,1113,8992,257156,0.12377669039145907,0.004328112118713932,4.112776988907241,2
ZG00000122,ZH03105,2-02-07,机械工程技术人员,891,3144,267649,0.2833969465648855,0.0033289868447107965,9.047373056297756,1
ZG00000123,ZH02456,2-02-10,信息和通信工程技术人员,315,2458,728309,0.12815296989422295,0.0004325087291245886,1.5035087335587711,3
ZG00000124,ZH03278,2-02-10,信息和通信工程技术人员,320,499,728309,0.6412825651302605,0.00043937394704720114,7.523617580990469,1
ZG00000125,ZH03530,4-04-05,软件和信息技术服务人员,1338,14452,749774,0.09258234154442292,0.001784537740705866,1.0550929980723167,3
ZG00000126,ZH04867,2-02-12,电力工程技术人员,1133,1058920,11619,0.0010699580704869112,0.0975126947241587,0.7868482148271067,50
ZG00000127,ZH00513,2-06-05,税务专业人员,941,222993,13765,0.004219863403783975,0.0683617871413004,2.6194802845400833,29
ZG00000128,ZH01877,2-02-18,建筑工程技术人员,115,320,180761,0.359375,0.0006361991801328826,16.987758697949225,2
ZG00000129,ZH01868,4-01-06,电子商务服务人员,1312,174782,135407,0.007506493803709764,0.00968930705207264,0.4736842785899528,30
ZG00000130,ZH00380,2-02-07,机械工程技术人员,194,1132,267649,0.17137809187279152,0.0007248299078270421,5.471200553301,2
ZG00000131,ZH02476,2-02-30,管理（工业）工程技术人员,73,7490,518059,0.009746328437917224,0.0001409105912647015,0.16075140453598918,7
ZG00000132,ZH00020,2-06-11,证券期货基金专业人员,697,5107,120322,0.13647934207949872,0.005792789348581307,9.692031896383826,2
ZG00000133,ZH02473,3-01-02,行政事务处理人员,406,7533,257156,0.053896190096906944,0.0015788081942478495,1.790829999730099,6
ZG00000134,ZH02545,4-02-02,道路运输服务人员,233,87932,36075,0.0026497748260019107,0.006458766458766459,0.6276182833777338,42
ZG00000135,ZH01152,8-00-00,不便分类的其他从业人员,212,21360,322298,0.009925093632958801,0.0006577763436322906,0.26312975339104483,10
ZG00000136,ZH01055,2-02-09,电子工程技术人员,368,1061,99354,0.3468426013195099,0.003703927370815468,29.829092089469132,2
ZG00000137,ZH02414,4-01-02,销售人员,334,5280,1199332,0.06325757575757576,0.0002784883585195759,0.4506777105922298,4
ZG00000138,ZH02035,2-06-11,证券期货基金专业人员,474,24825,120322,0.01909365558912387,0.003939429198317847,1.3559291550552843,6
ZG00000139,ZH02606,2-02-18,建筑工程技术人员,78,11459,180761,0.006806876690810717,0.00043150900913360734,0.3217630016283481,23
ZG00000140,ZH02888,2-02-06,化工工程技术人员,16,970,31535,0.016494845360824743,0.0005073727604249247,4.4693912017248065,11
ZG00000141,ZH03073,2-02-06,化工工程技术人员,61,5473,31535,0.011145623972227297,0.0019343586491200253,3.019983069226849,11
ZG00000142,ZH01895,2-06-11,证券期货基金专业人员,201,5256,120322,0.03824200913242009,0.0016705174448563022,2.715742665855753,4
ZG00000143,ZH05020,2-06-04,审计专业人员,118,16478,55277,0.007161063235829591,0.00213470340286195,1.1069448919150313,3
ZG00000144,ZH01609,6-29-03,建筑安装施工人员,93,195005,6933,0.0004769108484397836,0.013414106447425357,0.5877720873271222,65
ZG00000145,ZH02510,4-04-05,软件和信息技术服务人员,554,5197,749774,0.10659996151625938,0.0007388893186480193,1.2148415250074105,3
ZG00000146,ZH01502,4-04-05,软件和信息技术服务人员,153,648,749774,0.2361111111111111,0.00020406149052914612,2.690785045449251,2
ZG00000147,ZH03344,4-13-04,教育服务人员,41,1117,65820,0.03670546105640107,0.00062291096931024,4.765031350252051,3
ZG00000148,ZH03477,2-02-10,信息和通信工程技术人员,134,266,728309,0.5037593984962406,0.00018398784032601546,5.910176376533231,1
ZG00000149,ZH02537,8-00-00,不便分类的其他从业人员,457,29558,322298,0.015461127275187767,0.0014179424011318718,0.4098986626743697,17
ZG00000150,ZH01388,2-02-30,管理（工业）工程技术人员,246,630,518059,0.3904761904761905,0.0004748493897413229,6.440332526935017,1
ZG00000151,ZH02996,2-02-10,信息和通信工程技术人员,107,208,728309,0.5144230769230769,0.00014691566354390787,6.035284157178848,1
ZG00000152,ZH02336,2-02-07,机械工程技术人员,2687,3351,267649,0.8018501939719487,0.010039267847068363,25.59885675574117,1
ZG00000153,ZH02332,4-04-05,软件和信息技术服务人员,137,15156,749774,0.009039324359989442,0.00018272172681367985,0.1030145455432576,8
ZG00000154,ZH04789,2-06-03,会计专业人员,38,3084,305561,0.01232166018158236,0.00012436142046923527,0.3445595259453693,9
ZG00000155,ZH03652,4-04-05,软件和信息技术服务人员,492,2168,749774,0.22693726937269373,0.0006561977342505875,2.586237504069738,2
ZG00000156,ZH02968,2-02-10,信息和通信工程技术人员,721,4143,728309,0.17402848177649047,0.000989964424440725,2.0417267149945464,2
ZG00000157,ZH01607,2-06-07,商务专业人员,139,2300,489726,0.06043478260869565,0.0002838321837108914,1.0544518647428225,4
ZG00000158,ZH00234,4-04-05,软件和信息技术服务人员,202,420,749774,0.48095238095238096,0.00026941451690776154,5.4810613026630115,1
ZG00000159,ZH04605,4-01-01,购销服务人员,5,47,131360,0.10638297872340426,3.806333739342265e-05,6.919934174722056,3
ZG00000160,ZH01664,2-02-10,信息和通信工程技术人员,306,4798,728309,0.0637765735723218,0.0004201513368638861,0.7482357641932568,3
ZG00000161,ZH04934,2-06-09,保险专业人员,11,2427,17523,0.004532344458178822,0.0006277463904582549,2.2100769978669037,24
ZG00000162,ZH04959,8-00-00,不便分类的其他从业人员,156,15785,322298,0.009882800126702566,0.00048402410191810064,0.2620084864002438,14
ZG00000163,ZH01186,4-07-02,商务咨询服务人员,7,461,246669,0.015184381778741865,2.8378109936797894e-05,0.5259875905436047,6
