技能组合编号,技能组合名称,组合层级,技能一名称,技能二名称,历史共现相似度,技能簇一,技能簇二,标准技能名称_技能一,技能编号_技能一,技能展示名称_技能一,技能一级类型_技能一,技能簇编号_技能一,技能簇名称_技能一,标准技能名称_技能二,技能编号_技能二,技能展示名称_技能二,技能一级类型_技能二,技能簇编号_技能二,技能簇名称_技能二,组合键,pair_jobs_x,pair_jobs_early,pair_jobs_late,pair_jobs_recent,NPMI_2016_2025,NPMI_2016_2020,NPMI_2021_2025,NPMI_2022_2025,跨期NPMI均为正,NPMI排名,工资互补效应_all_%,工资互补效应下限95_all_%,工资互补效应上限95_all_%,工资互补p值_all,工资互补BH调整p值_all,工资支持职业数_all,工资互补效应_recent_%,工资互补效应下限95_recent_%,工资互补效应上限95_recent_%,工资互补p值_recent,工资互补BH调整p值_recent,工资支持职业数_recent,pair_jobs_y,2025组合需求率,组合需求率_2028,组合需求率下限90_2028,组合需求率上限90_2028,2025_2028每万岗位需求变化,近期工资方向一致,工资证据权重,NPMI得分,工资得分,需求得分,互补证据等级,skill_type,cluster_id,cluster_name,original_type,skill_jobs,pair_jobs,recent_pair_jobs,active_months,AI共现提升度,AI共现强度_NPMI,历史AI协同占比,ai_given_skill_coef,ai_given_skill_se,ai_given_skill_p,ai_given_skill_low,ai_given_skill_high,ai_given_skill_occupations,ai_given_skill_weight,skill_given_ai_coef,skill_given_ai_se,skill_given_ai_p,skill_given_ai_low,skill_given_ai_high,skill_given_ai_occupations,skill_given_ai_weight,strict_complement_coef,strict_complement_se,strict_complement_p,strict_complement_low,strict_complement_high,strict_complement_occupations,strict_complement_weight,ai_given_skill_pct,ai_given_skill_low_pct,ai_given_skill_high_pct,ai_given_skill_bh_p,skill_given_ai_pct,skill_given_ai_low_pct,skill_given_ai_high_pct,skill_given_ai_bh_p,strict_complement_pct,strict_complement_low_pct,strict_complement_high_pct,strict_complement_bh_p,recent_ai_given_skill_coef,recent_ai_given_skill_se,recent_ai_given_skill_p,recent_ai_given_skill_low,recent_ai_given_skill_high,recent_ai_given_skill_occupations,recent_ai_given_skill_weight,recent_skill_given_ai_coef,recent_skill_given_ai_se,recent_skill_given_ai_p,recent_skill_given_ai_low,recent_skill_given_ai_high,recent_skill_given_ai_occupations,recent_skill_given_ai_weight,recent_strict_complement_coef,recent_strict_complement_se,recent_strict_complement_p,recent_strict_complement_low,recent_strict_complement_high,recent_strict_complement_occupations,recent_strict_complement_weight,recent_ai_given_skill_pct,recent_ai_given_skill_low_pct,recent_ai_given_skill_high_pct,recent_ai_given_skill_bh_p,recent_skill_given_ai_pct,recent_skill_given_ai_low_pct,recent_skill_given_ai_high_pct,recent_skill_given_ai_bh_p,recent_strict_complement_pct,recent_strict_complement_low_pct,recent_strict_complement_high_pct,recent_strict_complement_bh_p,2025_AI技能组合需求_每万岗位,2025_技能岗位中AI协同占比,2025_AI组合月薪中位数,2025_非AI组合月薪中位数,2025_AI组合城市覆盖率,2028_AI技能组合需求_每万岗位,2025_2028组合需求变化_每万岗位,2028_技能岗位中AI协同占比,AI协同占比变化_百分点,2028_AI组合月薪中位数,2028_非AI组合月薪中位数,2028_AI组合工资优势_%,2025_2028_AI组合工资变化_%,2028_AI组合城市覆盖率,城市覆盖率变化_百分点,AI协同优势类型,证据等级,AI组合未来市场前景,技能显示名称,技能一编号_技能一,cluster_a,cluster_a_nature,cluster_b,cluster_b_nature,cluster_a_1,cluster_b_1,2022_2025组合岗位数,2025组合岗位数,当前月薪中位数,平均最低经验年限,本科及以上岗位占比,覆盖职业小类数,覆盖城市数,有效职业广度,主要职业小类_TOP5,主要城市_TOP5,pair_n,n_a,n_b,标准化共现强度_NPMI,组合类型,工资互补对数系数,工资互补对数系数标准误,互补效应p值,工资互补对数系数下限95,工资互补对数系数上限95,工资共同支持职业数,工资互补估计权重,工资互补效应_%,互补效应下限95_%,互补效应上限95_%,互补效应BH调整p值,total_jobs_2025,2028组合需求率预测,2028组合需求率预测下限90,2028组合需求率预测上限90,2025_2028需求增长_%,status,需求预测模型,需求预测回测WMAE,total_hits
ZH00001,3ds Max+Maya,标准技能组合,3ds Max,Maya,0.955625629768756,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,Maya,JN0340,Maya（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3ds Max||Maya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00022,ACCA+财务分析,标准技能组合,ACCA,财务分析,0.920655798734636,12.0,12.0,ACCA,JN0762,ACCA（财会金融证书）,证书与资质,12.0,财务会计与税务管理,财务分析,JN0077,财务分析,具体专业技能,12.0,财务会计与税务管理,ACCA||财务分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00023,ACCA+资金管理,标准技能组合,ACCA,资金管理,0.9060826249876007,12.0,12.0,ACCA,JN0762,ACCA（财会金融证书）,证书与资质,12.0,财务会计与税务管理,资金管理,JN0012,资金管理,职业职能与业务活动,12.0,财务会计与税务管理,ACCA||资金管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00024,ACCA+审计底稿,标准技能组合,ACCA,审计底稿,0.9003633122518442,12.0,12.0,ACCA,JN0762,ACCA（财会金融证书）,证书与资质,12.0,财务会计与税务管理,审计底稿,JN0727,审计底稿,专业知识与行业经验,12.0,财务会计与税务管理,ACCA||审计底稿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00025,ADC+I2C总线,标准技能组合,ADC,I2C总线,0.9576522369967316,11.0,11.0,ADC,JN0502,模数转换器（ADC）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,I2C总线,JN0284,I2C总线（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,ADC||I2C总线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00026,ADC+SPI总线,标准技能组合,ADC,SPI总线,0.9506232093663117,11.0,11.0,ADC,JN0502,模数转换器（ADC）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,SPI总线,JN0281,SPI总线（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,ADC||SPI总线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00027,ADC+UART,标准技能组合,ADC,UART,0.9486502515126752,11.0,11.0,ADC,JN0502,模数转换器（ADC）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,UART,JN0336,UART（嵌入式通信接口）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,ADC||UART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00028,ADC+USB接口,标准技能组合,ADC,USB接口,0.9436639269758028,11.0,11.0,ADC,JN0502,模数转换器（ADC）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,USB接口,JN0297,USB接口（嵌入式与硬件技术）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,ADC||USB接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00029,ADC+DAC,标准技能组合,ADC,DAC,0.9423248616776879,11.0,11.0,ADC,JN0502,模数转换器（ADC）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,DAC,JN0552,DAC（嵌入式与硬件技术）,工具软件与技术平台,11.0,嵌入式与电子硬件开发,ADC||DAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00030,ADC药物+细胞培养,标准技能组合,ADC药物,细胞培养,0.8461100479304492,18.0,18.0,ADC药物,JN0741,ADC药物（抗体偶联药物）,专业知识与行业经验,18.0,医药研发与药事管理,细胞培养,JN0410,细胞培养,具体专业技能,18.0,医药研发与药事管理,ADC药物||细胞培养,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00031,ADC药物+Western Blot,标准技能组合,ADC药物,Western Blot,0.8203632057349111,18.0,18.0,ADC药物,JN0741,ADC药物（抗体偶联药物）,专业知识与行业经验,18.0,医药研发与药事管理,Western Blot,JN0570,Western Blot（医药医疗生命科学）,具体专业技能,18.0,医药研发与药事管理,ADC药物||Western Blot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00032,ADC药物+蛋白纯化,标准技能组合,ADC药物,蛋白纯化,0.8033532968259848,18.0,18.0,ADC药物,JN0741,ADC药物（抗体偶联药物）,专业知识与行业经验,18.0,医药研发与药事管理,蛋白纯化,JN0567,蛋白纯化,具体专业技能,18.0,医药研发与药事管理,ADC药物||蛋白纯化,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00033,ADC药物+文献检索,标准技能组合,ADC药物,文献检索,0.7899228099143064,18.0,18.0,ADC药物,JN0741,ADC药物（抗体偶联药物）,专业知识与行业经验,18.0,医药研发与药事管理,文献检索,JN0365,文献检索,方法、标准与流程,18.0,医药研发与药事管理,ADC药物||文献检索,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00034,ADC药物+分子生物学,标准技能组合,ADC药物,分子生物学,0.7891438170914157,18.0,18.0,ADC药物,JN0741,ADC药物（抗体偶联药物）,专业知识与行业经验,18.0,医药研发与药事管理,分子生物学,JN0707,分子生物学,专业知识与行业经验,18.0,医药研发与药事管理,ADC药物||分子生物学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00035,AGV+PROFINET,标准技能组合,AGV,PROFINET,0.8054508898576498,9.0,9.0,AGV,JN0440,自动导引运输车（AGV）,具体专业技能,9.0,工业自动化与电气控制,PROFINET,JN0577,PROFINET（网络协议与运维）,工具软件与技术平台,9.0,工业自动化与电气控制,AGV||PROFINET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00036,AGV+EtherCAT,标准技能组合,AGV,EtherCAT,0.788585857411059,9.0,9.0,AGV,JN0440,自动导引运输车（AGV）,具体专业技能,9.0,工业自动化与电气控制,EtherCAT,JN0539,EtherCAT（工业通信协议）,工具软件与技术平台,9.0,工业自动化与电气控制,AGV||EtherCAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00037,AGV+PLC,标准技能组合,AGV,PLC,0.7722290735752401,9.0,9.0,AGV,JN0440,自动导引运输车（AGV）,具体专业技能,9.0,工业自动化与电气控制,PLC,JN0094,可编程逻辑控制器（PLC）,方法、标准与流程,9.0,工业自动化与电气控制,AGV||PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00038,AGV+自动化控制,标准技能组合,AGV,自动化控制,0.7664224396604133,9.0,9.0,AGV,JN0440,自动导引运输车（AGV）,具体专业技能,9.0,工业自动化与电气控制,自动化控制,JN0163,自动化控制,方法、标准与流程,9.0,工业自动化与电气控制,AGV||自动化控制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00039,AGV+SCADA,标准技能组合,AGV,SCADA,0.7373111883077581,9.0,9.0,AGV,JN0440,自动导引运输车（AGV）,具体专业技能,9.0,工业自动化与电气控制,SCADA,JN0481,数据采集与监控系统（SCADA）,工具软件与技术平台,9.0,工业自动化与电气控制,AGV||SCADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00040,AI工具应用+智能体应用与开发,标准技能组合,AI工具应用,智能体应用与开发,0.9192984198662877,15.0,15.0,AI工具应用,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,智能体应用与开发,JN0560,智能体应用与开发,具体专业技能,15.0,人工智能与数据挖掘,AI工具应用||智能体应用与开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00041,AI工具应用+生成式人工智能,标准技能组合,AI工具应用,生成式人工智能,0.9186911633714231,15.0,15.0,AI工具应用,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,生成式人工智能,JN0586,生成式人工智能,具体专业技能,15.0,人工智能与数据挖掘,AI工具应用||生成式人工智能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00042,AI工具应用+大模型开发,标准技能组合,AI工具应用,大模型开发,0.9026614140459048,15.0,15.0,AI工具应用,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,大模型开发,JN0568,大模型开发,具体专业技能,15.0,人工智能与数据挖掘,AI工具应用||大模型开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00043,AI工具应用+大语言模型,标准技能组合,AI工具应用,大语言模型,0.8901810091945134,15.0,15.0,AI工具应用,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,大语言模型,JN0424,大语言模型,具体专业技能,15.0,人工智能与数据挖掘,AI工具应用||大语言模型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00044,AI工具应用+RAG,标准技能组合,AI工具应用,RAG,0.8671683907889733,15.0,15.0,AI工具应用,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,RAG,JN0603,检索增强生成（RAG）,具体专业技能,15.0,人工智能与数据挖掘,AI工具应用||RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00045,ANSYS+结构设计,标准技能组合,ANSYS,结构设计,0.9008299123892449,8.0,8.0,ANSYS,JN0379,ANSYS（工程仿真软件）,工具软件与技术平台,8.0,机械设计与制造,结构设计,JN0064,结构设计,具体专业技能,8.0,机械设计与制造,ANSYS||结构设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00046,ANSYS+Abaqus,标准技能组合,ANSYS,Abaqus,0.888104345792018,8.0,8.0,ANSYS,JN0379,ANSYS（工程仿真软件）,工具软件与技术平台,8.0,机械设计与制造,Abaqus,JN0542,Abaqus（工程仿真软件）,工具软件与技术平台,8.0,机械设计与制造,ANSYS||Abaqus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00047,ANSYS+Fluent,标准技能组合,ANSYS,Fluent,0.8531117189628894,8.0,8.0,ANSYS,JN0379,ANSYS（工程仿真软件）,工具软件与技术平台,8.0,机械设计与制造,Fluent,JN0572,Fluent（工程设计仿真与检测软件）,工具软件与技术平台,8.0,机械设计与制造,ANSYS||Fluent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00048,ANSYS+Pro/E,标准技能组合,ANSYS,Pro/E,0.8398115042833455,8.0,8.0,ANSYS,JN0379,ANSYS（工程仿真软件）,工具软件与技术平台,8.0,机械设计与制造,Pro/E,JN0118,Pro/E（工业设计软件）,工具软件与技术平台,8.0,机械设计与制造,ANSYS||Pro/E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00049,ANSYS+HyperWorks,标准技能组合,ANSYS,HyperWorks,0.8322211125149248,8.0,8.0,ANSYS,JN0379,ANSYS（工程仿真软件）,工具软件与技术平台,8.0,机械设计与制造,HyperWorks,JN0627,HyperWorks（工程仿真软件）,工具软件与技术平台,8.0,机械设计与制造,ANSYS||HyperWorks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00050,AOI检测+SPI锡膏检测,标准技能组合,AOI检测,SPI锡膏检测,0.851317792702548,6.0,6.0,AOI检测,JN0466,AOI检测（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,SPI锡膏检测,JN0591,SPI锡膏检测（SMT检测）,工具软件与技术平台,6.0,质量管理与持续改进,AOI检测||SPI锡膏检测,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00051,AOI检测+SMT,标准技能组合,AOI检测,SMT,0.75336252965175,6.0,6.0,AOI检测,JN0466,AOI检测（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,SMT,JN0240,表面贴装技术（SMT）,具体专业技能,6.0,质量管理与持续改进,AOI检测||SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00052,AOI检测+生产流程,标准技能组合,AOI检测,生产流程,0.6830553442383008,6.0,6.0,AOI检测,JN0466,AOI检测（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,生产流程,JN0105,生产流程,方法、标准与流程,6.0,质量管理与持续改进,AOI检测||生产流程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00053,AOI检测+CPK,标准技能组合,AOI检测,CPK,0.6662327559781129,6.0,6.0,AOI检测,JN0466,AOI检测（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,CPK,JN0476,CPK（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,AOI检测||CPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00054,AOI检测+CAM350,标准技能组合,AOI检测,CAM350,0.6544637613029296,6.0,6.0,AOI检测,JN0466,AOI检测（质量方法与管理体系）,方法、标准与流程,6.0,质量管理与持续改进,CAM350,JN0556,CAM350（工程设计仿真与检测软件）,工具软件与技术平台,6.0,质量管理与持续改进,AOI检测||CAM350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00055,APQP+PPAP,标准技能组合,APQP,PPAP,0.989688929521255,6.0,6.0,APQP,JN0208,产品质量先期策划（APQP）,方法、标准与流程,6.0,质量管理与持续改进,PPAP,JN0226,生产件批准程序（PPAP）,方法、标准与流程,6.0,质量管理与持续改进,APQP||PPAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00056,APQP+FMEA,标准技能组合,APQP,FMEA,0.9849665040263911,6.0,6.0,APQP,JN0208,产品质量先期策划（APQP）,方法、标准与流程,6.0,质量管理与持续改进,FMEA,JN0192,失效模式与影响分析（FMEA）,方法、标准与流程,6.0,质量管理与持续改进,APQP||FMEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
